id,algorithm,vertices,total_cost,time_ms,operations
1,Prim,9,29.00000000,2.233,70
1,Kruskal,9,29.00000000,0.949,49
2,Prim,6,21.00000000,0.049,45
2,Kruskal,6,21.00000000,0.030,38
3,Prim,14,50.00000000,0.065,100
3,Kruskal,14,50.00000000,0.056,92
4,Prim,13,56.00000000,0.065,80
4,Kruskal,13,56.00000000,0.054,70
5,Prim,13,59.00000000,0.080,80
5,Kruskal,13,59.00000000,0.040,70
1,Prim,7,10.00000000,0.026,20
1,Kruskal,7,10.00000000,0.050,20
2,Prim,6,15.00000000,0.032,25
2,Kruskal,6,15.00000000,0.031,24
3,Prim,10,11.00000000,0.027,35
3,Kruskal,10,11.00000000,0.029,34
4,Prim,4,0.00000000,0.011,0
4,Kruskal,4,0.00000000,0.010,0
5,Prim,13,38.00000000,0.044,45
5,Kruskal,13,38.00000000,0.033,45
